date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:17:33	41290/41290	---M--	200	added ('OK')	text/css	date:Mon,%2009%20Nov%202020%2018:21:29%20GMT	https://softechcomputers.org.in/wp-content/plugins/ultimate-member/assets/css/um-fonticons-ii.css?ver=2.1.12	C:/My%20Web%20Sites/web/wp-content/plugins/ultimate-member/assets/css/um-fonticons-ii7e68.css	(from https://softechcomputers.org.in/)
18:17:33	14967/14967	---M--	200	added ('OK')	text/css	date:Mon,%2009%20Nov%202020%2018:21:29%20GMT	https://softechcomputers.org.in/wp-content/plugins/ultimate-member/assets/css/select2/select2.min.css?ver=2.1.12	C:/My%20Web%20Sites/web/wp-content/plugins/ultimate-member/assets/css/select2/select2.min7e68.css	(from https://softechcomputers.org.in/)
18:17:33	4346/4346	---M--	200	added ('OK')	text/css	date:Mon,%2009%20Nov%202020%2018:21:29%20GMT	https://softechcomputers.org.in/wp-content/plugins/ultimate-member/assets/css/um-crop.css?ver=2.1.12	C:/My%20Web%20Sites/web/wp-content/plugins/ultimate-member/assets/css/um-crop7e68.css	(from https://softechcomputers.org.in/)
18:17:34	3730/3730	---M--	200	added ('OK')	text/css	date:Mon,%2009%20Nov%202020%2018:21:29%20GMT	https://softechcomputers.org.in/wp-content/plugins/ultimate-member/assets/css/um-modal.css?ver=2.1.12	C:/My%20Web%20Sites/web/wp-content/plugins/ultimate-member/assets/css/um-modal7e68.css	(from https://softechcomputers.org.in/)
18:17:35	22134/22134	---M--	200	added ('OK')	text/css	date:Mon,%2009%20Nov%202020%2018:21:29%20GMT	https://softechcomputers.org.in/wp-content/plugins/ultimate-member/assets/css/um-styles.css?ver=2.1.12	C:/My%20Web%20Sites/web/wp-content/plugins/ultimate-member/assets/css/um-styles7e68.css	(from https://softechcomputers.org.in/)
18:17:35	9981/9981	---M--	200	added ('OK')	text/css	date:Mon,%2009%20Nov%202020%2018:21:29%20GMT	https://softechcomputers.org.in/wp-content/plugins/ultimate-member/assets/css/um-profile.css?ver=2.1.12	C:/My%20Web%20Sites/web/wp-content/plugins/ultimate-member/assets/css/um-profile7e68.css	(from https://softechcomputers.org.in/)
18:17:35	4325/4325	---M--	200	added ('OK')	text/css	date:Mon,%2009%20Nov%202020%2018:21:29%20GMT	https://softechcomputers.org.in/wp-content/plugins/ultimate-member/assets/css/um-account.css?ver=2.1.12	C:/My%20Web%20Sites/web/wp-content/plugins/ultimate-member/assets/css/um-account7e68.css	(from https://softechcomputers.org.in/)
18:17:36	2161/2161	---M--	200	added ('OK')	text/css	date:Mon,%2009%20Nov%202020%2018:21:29%20GMT	https://softechcomputers.org.in/wp-content/plugins/ultimate-member/assets/css/um-misc.css?ver=2.1.12	C:/My%20Web%20Sites/web/wp-content/plugins/ultimate-member/assets/css/um-misc7e68.css	(from https://softechcomputers.org.in/)
18:17:36	3743/3743	---M--	200	added ('OK')	text/css	date:Mon,%2009%20Nov%202020%2018:21:29%20GMT	https://softechcomputers.org.in/wp-content/plugins/ultimate-member/assets/css/um-fileupload.css?ver=2.1.12	C:/My%20Web%20Sites/web/wp-content/plugins/ultimate-member/assets/css/um-fileupload7e68.css	(from https://softechcomputers.org.in/)
18:17:36	3922/3922	---M--	200	added ('OK')	text/css	date:Mon,%2009%20Nov%202020%2018:21:29%20GMT	https://softechcomputers.org.in/wp-content/plugins/ultimate-member/assets/css/pickadate/default.css?ver=2.1.12	C:/My%20Web%20Sites/web/wp-content/plugins/ultimate-member/assets/css/pickadate/default7e68.css	(from https://softechcomputers.org.in/)
